Date,Open,High,Low,Close,Volume
15-08-2018,38.9127,39.5971,37.6417,37.6418,1018762
16-08-2018,38.1307,38.5217,37.1529,38.4239,983370
17-08-2018,38.2284,38.9128,38.0328,38.3262,902713
20-08-2018,38.424,40.0861,38.424,39.4016,1066606
21-08-2018,39.4994,39.8905,38.6194,39.1083,872740
22-08-2018,39.1083,39.5972,38.4239,38.5217,889331
23-08-2018,38.7172,38.7172,37.9351,38.1306,915230
24-08-2018,38.1306,38.3261,37.544,38.3262,950361
27-08-2018,37.8373,38.7173,37.8373,38.0329,646227
28-08-2018,38.3262,38.424,38.0329,38.0329,473400
29-08-2018,38.2284,38.3262,37.6418,37.9351,541130
30-08-2018,37.9351,38.815,37.9351,38.815,973249
31-08-2018,38.7172,39.4994,38.7172,38.9128,1285058
04-09-2018,39.1083,39.1083,37.8373,38.1306,554927
05-09-2018,38.1306,38.3261,37.3484,37.6418,762301
06-09-2018,37.7396,37.7396,35.9797,36.1752,1335612
07-09-2018,36.1752,37.0551,36.1752,36.9574,410949
10-09-2018,36.9574,37.2507,36.6641,36.8596,269055
11-09-2018,36.9574,37.7395,36.5663,37.7395,562060
12-09-2018,38.1306,38.1306,37.1529,37.1529,451697
13-09-2018,37.544,37.7395,36.7618,36.8596,627383
14-09-2018,36.8596,37.1529,36.7618,37.0551,398367
17-09-2018,37.0551,37.0551,36.664,36.6641,220310
18-09-2018,36.7619,37.2507,36.0775,37.1529,366664
19-09-2018,37.1529,37.6418,36.9574,37.1529,411982
20-09-2018,37.2507,37.9351,36.9574,37.9351,757306
21-09-2018,38.1306,39.0106,37.8373,38.5217,1726588
24-09-2018,38.5217,40.5749,38.3262,40.3794,2184390
25-09-2018,40.6727,40.966,40.1839,40.2816,960316
26-09-2018,40.5749,40.5749,39.7927,39.8905,1376547
27-09-2018,40.1838,40.1838,39.4016,39.7927,1278660
28-09-2018,40.086,40.7704,39.6949,40.3794,1004967
01-10-2018,40.2816,41.2593,39.7928,40.086,904188
02-10-2018,39.6949,40.086,38.6194,39.0106,1547015
03-10-2018,39.1084,39.1084,38.424,38.5217,800029
04-10-2018,38.7172,39.4016,38.5217,39.0106,419440
05-10-2018,39.0106,39.0106,38.424,38.5217,506215
08-10-2018,38.7172,38.7172,37.2507,37.3485,840280
09-10-2018,37.3485,38.0329,37.2507,37.6418,460275
10-10-2018,37.6418,37.9351,37.1529,37.544,307188
11-10-2018,37.1529,37.1529,33.1443,34.2198,1582622
12-10-2018,34.2198,35.9797,33.0465,35.5886,969447
15-10-2018,35.1975,35.5886,34.6109,34.8064,451515
16-10-2018,34.5131,35.393,34.5131,35.1975,317482
17-10-2018,35.6864,36.0774,35.2953,35.2953,333873
18-10-2018,35.3931,35.3931,34.4154,34.9042,421299
19-10-2018,34.7087,34.9042,33.7309,34.8064,387780
22-10-2018,34.9042,35.0019,33.9265,33.9265,279580
23-10-2018,34.4154,34.4154,32.2644,33.3399,548870
24-10-2018,33.2421,33.5354,32.3622,32.5577,416077
25-10-2018,32.7532,32.7532,30.7001,31.8733,651695
26-10-2018,32.0688,32.3622,31.3844,31.6777,419750
29-10-2018,31.6777,31.7755,31.0911,31.2867,228412
30-10-2018,31.0912,31.6778,30.7978,31.58,375221
31-10-2018,31.6778,32.7533,31.6778,32.7532,404715
01-11-2018,32.851,32.9487,31.2866,31.58,420533
02-11-2018,31.7755,32.2644,31.2867,32.1666,485267
05-11-2018,32.1666,32.1666,31.1889,32.0688,389790
06-11-2018,32.0688,32.4599,31.5799,31.8733,318645
07-11-2018,32.0688,32.0688,31.2867,31.58,233370
08-11-2018,31.6778,32.5577,31.6778,32.3621,585090
09-11-2018,32.3621,33.7309,32.1666,32.851,703370
